Team,Moneyline_dk
BUF Sabres,+110
PIT Penguins,−130
LA Kings,+142
TOR Maple Leafs,−170
BOS Bruins,−102
COL Avalanche,−118
UTA Hockey Club,−135
ANA Ducks,+114
