Team,Moneyline_dk
SA Spurs,+330
NY Knicks,−425
MIN Timberwolves,+130
DAL Mavericks,−155
PHI 76ers,+160
BOS Celtics,−192
LA Lakers,+130
GS Warriors,−155
DEN Nuggets,−105
PHO Suns,−115
