Team,Moneyline
CHI White Sox,+310
PHI Phillies,−445
LA Angels,+240
CIN Reds,−330
BAL Orioles,−130
KC Royals,+100
TEX Rangers,−410
ATL Braves,+290
MIA Marlins,−475
CHI Cubs,+325
