Team,Moneyline_dk
TOR Maple Leafs,−175
MTL Canadiens,+145
NY Rangers,−120
PIT Penguins,+100
WPG Jets,+145
EDM Oilers,−175
COL Avalanche,+100
VGK Golden Knights,−120
CGY Flames,+170
VAN Canucks,−205
