Team,Moneyline_dk
IND Pacers,−218
DET Pistons,+180
MIL Bucks,+145
PHI 76ers,−175
CLE Cavaliers,−175
TOR Raptors,+145
BKN Nets,+225
ATL Hawks,−278
ORL Magic,+102
MIA Heat,−122
CHI Bulls,+220
NO Pelicans,−270
CHA Hornets,+205
HOU Rockets,−250
MEM Grizzlies,−155
UTA Jazz,+130
GS Warriors,−155
POR Trail Blazers,+130
PHO Suns,−122
LA Clippers,+102
