Team,Moneyline_dk
ATL Braves,−108
BOS Red Sox,−112
STL Cardinals,+150
HOU Astros,−180
CIN Reds,−130
COL Rockies,+110
SF Giants,+114
ARI Diamondbacks,−135
NY Mets,−142
WAS Nationals,+120
LA Dodgers,+102
PIT Pirates,−122
MIN Twins,+160
NY Yankees,−192
CHI White Sox,+160
CHI Cubs,−192
SD Padres,−148
LA Angels,+124
SEA Mariners,−162
OAK Athletics,+136
