Team,Moneyline_dk
MIN Vikings,−115
TEN Titans,−105
CLE Browns,−130
NO Saints,+110
GB Packers,−112
CHI Bears,−108
JAX Jaguars,+160
DET Lions,−192
LV Raiders,+230
MIA Dolphins,−285
LA Rams,−198
NE Patriots,+164
BAL Ravens,−155
PIT Steelers,+130
ATL Falcons,−170
DEN Broncos,+142
SEA Seahawks,+320
SF 49ers,−410
KC Chiefs,−110
BUF Bills,−110
CIN Bengals,−130
LA Chargers,+110
IND Colts,+160
NY Jets,−192
