Team,Moneyline
TOR Maple Leafs,+114
BOS Bruins,−135
NY Islanders,+205
CAR Hurricanes,−250
VGK Golden Knights,+110
DAL Stars,−130
LA Kings,+142
EDM Oilers,−170
