Team,Moneyline_dk
DAL Mavericks,−265
CHA Hornets,+215
DET Pistons,+225
HOU Rockets,−278
MIN Timberwolves,−105
MEM Grizzlies,−115
ATL Hawks,+295
NY Knicks,−375
PHO Suns,+114
CLE Cavaliers,−135
BOS Celtics,−192
GS Warriors,+160
UTA Jazz,+235
NO Pelicans,−290
