Team,Moneyline_dk
ATL Hawks,+425
BOS Celtics,−575
MIA Heat,−170
DET Pistons,+142
CHA Hornets,+235
ORL Magic,−290
NY Knicks,+114
PHI 76ers,−135
TOR Raptors,+260
MIL Bucks,−325
PHO Suns,−148
UTA Jazz,+124
DAL Mavericks,+110
GS Warriors,−130
MIN Timberwolves,−250
POR Trail Blazers,+205
