Team,Moneyline_dk
BOS Celtics,−700
WAS Wizards,+500
SA Spurs,+260
DAL Mavericks,−325
OKC Thunder,+110
DEN Nuggets,−130
MIN Timberwolves,−105
SAC Kings,−115
