Team,Moneyline_dk
PHI 76ers,−115
ORL Magic,−105
DET Pistons,+150
TOR Raptors,−180
MIA Heat,+136
IND Pacers,−162
WAS Wizards,+215
ATL Hawks,−265
BKN Nets,+575
NY Knicks,−850
CHI Bulls,+250
CLE Cavaliers,−310
LA Lakers,−118
SA Spurs,−102
DEN Nuggets,−105
NO Pelicans,−115
PHO Suns,+164
OKC Thunder,−198
LA Clippers,+114
HOU Rockets,−135
MIN Timberwolves,−105
SAC Kings,−115
MEM Grizzlies,+110
GS Warriors,−130
