Team,Moneyline
OAK Athletics,+195
NY Yankees,−238
MIL Brewers,+110
PIT Pirates,−130
PHI Phillies,−122
CIN Reds,+102
DET Tigers,−115
TB Rays,−105
MIA Marlins,+185
ATL Braves,−218
CHI White Sox,+150
MIN Twins,−180
TOR Blue Jays,−110
KC Royals,−110
ARI Diamondbacks,−105
STL Cardinals,−115
SD Padres,−185
COL Rockies,+154
BAL Orioles,+102
LA Angels,−122
