Team,Moneyline_dk
TB Lightning,+105
CAR Hurricanes,−125
CHI Blackhawks,+190
WPG Jets,−230
PHI Flyers,+145
VAN Canucks,−175
STL Blues,+154
VGK Golden Knights,−185
