Team,Moneyline_dk
MTL Canadiens,+205
BOS Bruins,−250
TOR Maple Leafs,+110
NJ Devils,−130
FLA Panthers,−130
OTT Senators,+110
PIT Penguins,+114
DET Red Wings,−135
LA Kings,−115
BUF Sabres,−105
UTA Hockey Club,+124
NY Islanders,−148
CBJ Blue Jackets,+200
MIN Wild,−245
DAL Stars,−105
NSH Predators,−115
STL Blues,−175
SJ Sharks,+145
